loc,subj_idx,rt,angle,response
1,11,1.378816414,109.5,1
1,11,3.104927449,89,2
1,11,1.004363056,93,1
1,11,2.111454265,95,1
1,11,0.826880661,78.5,2
1,11,4.451046277,76,2
1,11,1.066050641,101.5,1
1,11,1.099666664,71,2
1,11,1.032105724,80.5,2
1,11,1.116451926,81.5,2
1,11,1.130461667,105,1
1,11,1.441282474,106,1
1,11,0.857720956,70.5,2
1,11,1.275908764,93,1
1,11,1.036886464,109,1
1,11,4.353958731,98,1
1,11,1.17304948,102,1
1,11,1.110378983,104.5,1
1,11,1.069108331,84.5,2
1,11,2.138315692,92,1
1,11,3.930818699,82.5,2
1,11,0.849775196,108.5,1
1,11,1.959169294,96.5,1
1,11,1.022635503,103,1
1,11,1.070274277,77.5,2
1,11,5.764950821,94,1
1,11,2.759729675,86,2
1,11,1.472773925,94.5,1
1,11,1.262273617,74.5,2
1,11,1.59670375,81,2
1,11,1.217301387,85,2
1,11,1.028389259,80,2
1,11,2.229291828,83.5,2
1,11,1.303017905,70,2
1,11,1.252789492,73,2
1,11,1.163939273,108,1
1,11,1.46793008,92,1
1,11,0.98129031,77.5,2
1,11,1.023711717,106.5,1
1,11,1.347566757,95,1
1,11,5.575722543,82,2
1,11,4.013801204,87,2
1,11,2.826502235,109.5,1
1,11,1.048196976,82.5,2
1,11,4.715250957,100.5,1
1,11,1.336621322,102,1
1,11,1.793385611,90.5,1
1,11,2.527886448,89,2
1,11,3.417996372,78,2
1,11,1.139944651,91.5,1
1,11,1.626435821,90.5,1
1,11,1.431926987,79.5,2
1,11,1.203155221,72.5,2
1,11,1.972593272,109,1
1,11,4.533873157,102.5,1
1,11,3.856704437,106,1
1,11,1.4848971,84,2
1,11,1.414260859,81,2
1,11,1.665430475,96,1
1,11,1.570955152,104,1
1,11,1.245955214,106.5,1
1,11,1.09937861,100,1
1,11,1.384117251,72.5,2
1,11,1.506416662,85.5,2
1,11,0.92691216,107,1
1,11,1.097245063,95.5,1
1,11,1.392957651,87.5,2
1,11,0.924406253,94.5,1
1,11,0.903939832,103.5,1
1,11,2.012563173,92.5,1
1,11,1.264578358,70.5,2
1,11,0.935318971,75.5,2
1,11,1.19893448,108,1
1,11,1.58284389,102.5,1
1,11,1.434253172,75,2
1,11,1.156453662,99,1
1,11,1.037191964,97.5,1
1,11,1.402245789,86,2
1,11,2.51488613,107.5,1
1,11,0.908818296,74,2
1,11,1.116958015,98.5,1
1,11,0.935182545,101,1
1,11,0.81381936,77,2
1,11,1.129832789,76.5,2
1,11,2.175174071,85.5,2
1,11,2.459370552,86.5,2
1,11,1.013437355,100,1
1,11,1.182475974,78,2
1,11,1.739238456,93.5,1
1,11,2.010563054,95.5,1
1,11,1.512276387,103,1
1,11,6.057046901,81.5,2
1,11,1.358719631,83,2
1,11,1.771532534,76.5,2
1,11,1.113029706,82,2
1,11,1.663235132,88.5,2
1,11,4.327087712,83,2
1,11,1.26486944,98,1
1,11,0.91928642,80,2
1,11,6.886115884,104.5,1
1,11,0.970701923,104,1
1,11,0.996213862,78.5,2
1,11,4.82623405,71,2
1,11,2.370877669,73,2
1,11,2.239436289,79,2
1,11,2.243625391,88,2
1,11,2.567638015,91,1
1,11,1.012595163,97,1
1,11,5.013175147,99.5,1
1,11,2.290313292,84.5,2
1,11,1.220657528,92.5,1
1,11,2.503896051,99.5,1
1,11,1.521468299,103.5,1
1,11,1.533401613,110,1
1,11,2.008925547,83.5,2
1,11,1.162566504,101.5,1
1,11,2.564288593,88.5,2
1,11,4.802749902,74.5,2
1,11,1.33727986,85,2
1,11,2.238818058,88,2
1,11,1.021261465,79,2
1,11,3.022128666,70,2
1,11,1.275851462,84,2
1,11,1.230584546,107,1
1,11,1.347216286,108.5,1
1,11,1.981872439,91,1
1,11,1.315900746,105.5,1
1,11,1.347469455,107.5,1
1,11,1.597562581,93.5,1
1,11,1.834766676,97,1
1,11,1.232972727,80.5,2
1,11,2.314505823,75.5,2
1,11,0.888586004,72,2
1,11,0.880355687,71.5,2
1,11,0.834470742,73.5,2
1,11,1.111464779,71.5,2
1,11,1.572070497,99,1
1,11,1.237073555,72,2
1,11,1.255418322,75,2
1,11,1.348347366,87,2
1,11,1.116506803,77,2
1,11,1.587260483,76,2
1,11,1.268121305,94,1
1,11,1.062994789,96.5,1
1,11,1.374004963,96,1
1,11,3.120825874,105,1
1,11,1.219898883,86.5,2
1,11,1.384472178,74,2
1,11,0.928505768,110,1
1,11,3.474876649,100.5,1
1,11,1.059610603,79.5,2
1,11,1.129991487,101,1
1,12,1.511984223,98.5,1
1,12,5.655039644,89.5,2
1,12,1.341813309,73.5,2
1,12,1.269456805,105.5,1
1,12,2.622587751,109.5,1
1,12,1.501280181,89,2
1,12,1.396583631,93,1
1,12,1.276239397,95,1
1,12,0.865392075,78.5,2
1,12,3.197882522,76,2
1,12,0.799128504,101.5,1
1,12,2.043836846,71,2
1,12,1.143828314,80.5,2
1,12,2.623488534,81.5,2
1,12,1.193616676,105,1
1,12,1.328082554,106,1
1,12,0.944067881,70.5,2
1,12,3.511302165,93,1
1,12,0.964918336,109,1
1,12,1.513546472,98,1
1,12,1.132831059,102,1
1,12,1.68657626,104.5,1
1,12,1.508167105,84.5,2
1,12,1.895558533,92,1
1,12,1.761237873,82.5,2
1,12,1.211798088,108.5,1
1,12,1.096891185,96.5,1
1,12,1.682733967,89.5,2
1,12,1.039099264,103,1
1,12,1.051632751,77.5,2
1,12,1.182479388,94,1
1,12,1.144468739,86,2
1,12,1.213215742,94.5,1
1,12,0.922202906,74.5,2
1,12,1.047857664,81,2
1,12,1.07516728,85,2
1,12,2.413768748,80,2
1,12,6.713136256,83.5,2
1,12,1.115662155,70,2
1,12,1.01836952,73,2
1,12,1.272822051,108,1
1,12,1.888902924,92,1
1,12,1.29588101,77.5,2
1,12,1.18972691,106.5,1
1,12,1.311257167,95,1
1,12,1.40800273,82,2
1,12,1.397349239,87,2
1,12,3.446685885,109.5,1
1,12,1.016619745,82.5,2
1,12,1.014269943,100.5,1
1,12,1.279582214,102,1
1,12,5.069031467,89,2
1,12,1.157575509,78,2
1,12,2.336684959,91.5,1
1,12,5.368392401,79.5,2
1,12,1.851086672,72.5,2
1,12,1.789513058,109,1
1,12,1.041027172,102.5,1
1,12,1.129622358,106,1
1,12,1.315571625,84,2
1,12,0.991409738,81,2
1,12,1.336571383,96,1
1,12,1.279156439,104,1
1,12,1.022178188,106.5,1
1,12,1.178766498,100,1
1,12,8.397271201,72.5,2
1,12,6.606552209,85.5,2
1,12,1.094569302,107,1
1,12,2.646834068,95.5,1
1,12,4.862409077,87.5,2
1,12,1.140497283,94.5,1
1,12,1.282054935,103.5,1
1,12,1.367021236,92.5,1
1,12,1.668667645,70.5,2
1,12,2.277586118,75.5,2
1,12,2.039715757,108,1
1,12,0.982669761,102.5,1
1,12,0.953366441,75,2
1,12,1.261186872,99,1
1,12,1.044251291,97.5,1
1,12,1.484459269,86,2
1,12,1.009550508,107.5,1
1,12,1.052303267,74,2
1,12,1.055314301,98.5,1
1,12,1.10828198,101,1
1,12,3.586199252,77,2
1,12,1.061206038,76.5,2
1,12,1.406123532,85.5,2
1,12,1.241443389,86.5,2
1,12,0.920812871,100,1
1,12,1.438653923,78,2
1,12,1.411966263,93.5,1
1,12,1.127785638,95.5,1
1,12,1.014349602,103,1
1,12,0.973510916,81.5,2
1,12,1.160828817,83,2
1,12,1.239284123,76.5,2
1,12,2.460591411,82,2
1,12,1.251350622,88.5,2
1,12,4.041918835,83,2
1,12,1.019066506,98,1
1,12,1.35038735,80,2
1,12,1.355919034,104.5,1
1,12,1.106212093,104,1
1,12,1.006111648,78.5,2
1,12,0.996095756,71,2
1,12,1.475701587,73,2
1,12,1.173801737,79,2
1,12,1.395529035,88,2
1,12,1.230733071,91,1
1,12,1.587926325,97,1
1,12,1.089154601,99.5,1
1,12,1.168064712,87.5,2
1,12,0.993863261,84.5,2
1,12,1.436127962,92.5,1
1,12,1.355014554,97.5,1
1,12,1.052441338,99.5,1
1,12,0.9383779,103.5,1
1,12,0.827502915,110,1
1,12,1.056800981,83.5,2
1,12,0.936549327,101.5,1
1,12,1.119408327,88.5,2
1,12,1.352538531,74.5,2
1,12,1.099595229,85,2
1,12,1.408975534,88,2
1,12,1.957842611,79,2
1,12,1.207240109,70,2
1,12,1.019468388,84,2
1,12,0.836536908,107,1
1,12,0.87034856,108.5,1
1,12,0.912640217,91,1
1,12,1.178457033,105.5,1
1,12,1.250251268,107.5,1
1,12,1.905447162,93.5,1
1,12,0.992291312,97,1
1,12,1.53517931,80.5,2
1,12,1.44429414,75.5,2
1,12,0.910005048,72,2
1,12,0.97974638,71.5,2
1,12,1.069720169,73.5,2
1,12,1.121239358,71.5,2
1,12,1.100624038,99,1
1,12,1.068794823,72,2
1,12,1.157590987,75,2
1,12,1.910508852,87,2
1,12,1.636192037,77,2
1,12,1.389167454,76,2
1,12,1.099183643,94,1
1,12,1.15466279,96.5,1
1,12,1.226782259,96,1
1,12,0.90040928,105,1
1,12,1.726933507,86.5,2
1,12,1.008532564,74,2
1,12,0.967674142,110,1
1,12,1.035665684,100.5,1
1,12,1.070567918,79.5,2
1,12,1.288726609,101,1
1,13,1.18288468,98.5,1
1,13,2.672303919,89.5,2
1,13,0.813762798,73.5,2
1,13,2.366499358,91.5,1
1,13,1.298640734,105.5,1
1,13,2.812517745,109.5,1
1,13,1.995473251,89,2
1,13,2.094562125,93,1
1,13,1.471860272,95,1
1,13,2.551124542,78.5,2
1,13,1.82667809,76,2
1,13,0.968641798,101.5,1
1,13,1.422222441,71,2
1,13,1.156860313,80.5,2
1,13,1.406988636,81.5,2
1,13,1.205311801,105,1
1,13,0.767743947,106,1
1,13,1.189420625,70.5,2
1,13,1.061905677,93,1
1,13,1.141926819,109,1
1,13,0.812963693,98,1
1,13,1.431757334,102,1
1,13,0.955652891,104.5,1
1,13,1.090692089,84.5,2
1,13,3.067003888,92,1
1,13,0.978094693,82.5,2
1,13,1.006625743,108.5,1
1,13,1.141804891,96.5,1
1,13,1.304268848,89.5,2
1,13,1.113584868,103,1
1,13,0.755530789,77.5,2
1,13,1.149149719,94,1
1,13,1.672796362,86,2
1,13,1.276023002,94.5,1
1,13,3.198382601,74.5,2
1,13,1.677619968,81,2
1,13,1.500155724,85,2
1,13,2.169306097,80,2
1,13,2.931962254,83.5,2
1,13,1.076997738,70,2
1,13,1.566108762,73,2
1,13,4.482585405,108,1
1,13,2.067988139,92,1
1,13,1.512449366,77.5,2
1,13,1.054197975,106.5,1
1,13,1.390886559,95,1
1,13,0.85797597,82,2
1,13,1.999146376,87,2
1,13,0.788829048,109.5,1
1,13,2.11960983,82.5,2
1,13,2.338266992,100.5,1
1,13,1.544689999,102,1
1,13,1.52047308,90.5,1
1,13,3.365403603,89,2
1,13,1.551367555,78,2
1,13,1.402139754,91.5,1
1,13,2.237570175,90.5,1
1,13,0.989015179,79.5,2
1,13,1.855724616,72.5,2
1,13,0.931016005,109,1
1,13,0.956072379,102.5,1
1,13,1.006949109,106,1
1,13,2.262458315,84,2
1,13,1.548383006,81,2
1,13,2.712330781,96,1
1,13,1.122772129,104,1
1,13,1.027177074,106.5,1
1,13,1.103248999,100,1
1,13,1.271439527,72.5,2
1,13,0.856485476,85.5,2
1,13,0.854817824,107,1
1,13,1.419543737,95.5,1
1,13,1.044852044,87.5,2
1,13,0.852756988,94.5,1
1,13,0.813019912,103.5,1
1,13,2.242815741,92.5,1
1,13,2.752424524,70.5,2
1,13,1.444009135,75.5,2
1,13,1.26678029,108,1
1,13,1.074335515,102.5,1
1,13,0.841472956,75,2
1,13,0.817836927,99,1
1,13,1.171293313,97.5,1
1,13,0.8980442,86,2
1,13,0.778419013,107.5,1
1,13,1.655562655,74,2
1,13,2.454216363,98.5,1
1,13,0.912216912,101,1
1,13,1.713692266,77,2
1,13,0.860327989,76.5,2
1,13,0.873859263,85.5,2
1,13,1.636464557,86.5,2
1,13,2.385280743,100,1
1,13,2.051262176,78,2
1,13,1.290710271,93.5,1
1,13,1.486164555,95.5,1
1,13,1.093787658,103,1
1,13,1.571049164,81.5,2
1,13,1.090946943,83,2
1,13,1.685508629,76.5,2
1,13,3.130452744,82,2
1,13,1.032493719,88.5,2
1,13,2.368027448,83,2
1,13,1.736300552,98,1
1,13,1.577073587,80,2
1,13,1.446017462,104.5,1
1,13,0.950066121,104,1
1,13,0.815063862,78.5,2
1,13,0.773592415,71,2
1,13,0.622565985,73,2
1,13,0.693960482,79,2
1,13,1.690438995,88,2
1,13,1.603535277,91,1
1,13,1.110499817,97,1
1,13,1.268596634,99.5,1
1,13,2.73784124,87.5,2
1,13,1.776171906,84.5,2
1,13,5.029387373,92.5,1
1,13,2.644144322,97.5,1
1,13,2.143639845,99.5,1
1,13,1.450323188,103.5,1
1,13,1.564024057,110,1
1,13,1.149780572,83.5,2
1,13,3.931055576,101.5,1
1,13,1.475208608,88.5,2
1,13,2.693035217,74.5,2
1,13,1.60655648,85,2
1,13,1.337513377,88,2
1,13,0.875989905,79,2
1,13,1.490391014,70,2
1,13,1.014903693,84,2
1,13,1.540467178,107,1
1,13,3.097624296,108.5,1
1,13,2.859018541,91,1
1,13,1.133208875,105.5,1
1,13,2.893465464,107.5,1
1,13,1.871150782,93.5,1
1,13,1.193136012,97,1
1,13,1.224562232,80.5,2
1,13,1.055132786,75.5,2
1,13,1.217633919,72,2
1,13,0.865546996,71.5,2
1,13,1.578915498,73.5,2
1,13,1.206053912,71.5,2
1,13,0.847486063,99,1
1,13,0.845295442,72,2
1,13,3.153604842,75,2
1,13,0.937277736,87,2
1,13,1.751173143,77,2
1,13,1.527640637,76,2
1,13,1.127269831,94,1
1,13,1.748628258,96.5,1
1,13,0.809523897,96,1
1,13,1.713884305,105,1
1,13,1.851520926,86.5,2
1,13,1.798796292,74,2
1,13,1.507927032,110,1
1,13,2.294219801,100.5,1
1,13,0.824052701,79.5,2
1,13,2.22063296,101,1
1,14,1.131310377,98.5,1
1,14,2.392464135,89.5,2
1,14,0.994443691,73.5,2
1,14,1.525899046,91.5,1
1,14,2.04121631,105.5,1
1,14,1.312799368,109.5,1
1,14,1.46195431,89,2
1,14,1.313911241,93,1
1,14,1.750428297,95,1
